,pairs,binned,story_A,story_B,story_A_summary,story_B_summary,Empathic Similarity (gpt3.5),Empathic Similarity Binned (gpt3.5),Empathic Similarity Reasons (gpt3.5),similarity_empathy_human_AGG,similarity_event_human_AGG,similarity_emotion_human_AGG,similarity_moral_human_AGG
44,"(34, 76)","(0.476, 0.501]","So at Alchemy we are taking the concept of chemistry and science and turning them into game based learning tools for students and for instructors, but in a way that allows for experimentation and play. The path was going toward academic chemistry. I was good at chemistry, I was good at research and all that stuff. But I realized that I always liked working with young people. So I actually, in 1994, went and worked at Detroit Country Day School, which is a private school. <br><br>And started my job there and loved it, and raised my children. They went through the school, they went to U of M. And after that I started sort of feeling like not as connected to my school as it used to be, because my kids were gone. So I started to look for new things and that was the beginning of Alchemy. <br><br>And if my learning tools can be shown to help students from everywhere get better. And there's like 50% of people that fail organic chemistry. If I could cut that down to 40 %, I think that would be success. But, this is not an easy path, it's really hard. But if you're solving a problem that you know needs to be solved, then the hurdles don't feel quite so high.","I've really liked Math and Science. So I thought, hey, maybe I should go into engineering. I also liked medicine, so the summer before my senior year of high school, I did a summer program and got to explore different types of engineering. I found Biomedical Engineering and it was the perfect marriage of what I like to do. <br><br>I went on and pursued my PhD, and I'm currently the Director of Research and Development for Sports Medicine. <br><br>The biggest thing to keep in mind is just having an open mind. Be open to everything. It doesn't mean you have to agree with everything, but just see it from that perspective. It'll change the way you think, it'll make you more innovative, it'll make you more creative.","Alchemy is a company that creates game-based learning tools for students and instructors to make chemistry and science more fun and experimental. The founder originally pursued a career in academic chemistry but later discovered a passion for working with young people and started teaching at a private school. After her children graduated, she founded Alchemy to help students worldwide succeed in chemistry, with the goal of reducing the 50% failure rate in organic chemistry.","
The author had an interest in Math, Science, and Medicine, and decided to explore engineering during a summer program before their senior year of high school. They discovered Biomedical Engineering, which was the perfect fit for them. They pursued a PhD and are now the Director of Research and Development for Sports Medicine, emphasizing the importance of having an open mind to expand creativity and innovation.",1,0.0," The stories have different topics and experiences, and there is no clear connection between the two narratives.",3.5,2.5,3.0,3.0
45,"(35, 40)","(0.501, 0.544]","I always knew as a young person that I want to make a difference. So even though my day job was marketing, I really saw my greater purpose to be driving business. So leading marketing or whatever it is that I've done throughout my career. I'm actually privileged right now to do what is really my passion. And that's really to lead change and changing some of the systems that have created some of the problems that we're unfortunately trying to resolve. <br><br>In second grade, there was a teacher who had me come up and kept asking me to read, and I was reading all the stuff. And she was that teacher who said, wow this child here is special. And from there on I get placed in gifted classes and all this stuff, but my friends in my neighborhood were not in my classes. <br><br>And when you get to high school, this gap continues. And so by the time we graduated, it wasn't until then, that I was the only student of color with the sash on for honors. The people were saying, you're smart? I was embarrassed to tell that story. <br><br>Now in hindsight, I'm like, maybe I should have been telling my friends , maybe I should have been sharing the experiences. I could have played as a peer mentor to make sure more of my friends were having the same experience I had. <br><br>And maybe I missed out when I was younger, but what I can do as I get older is to really address some of the inequities that do occur in education in particular.","I did an arts commerce degree at Melbourne Uni, but the reason I did commerce was because my parents wanted me to. I had no interest in it whatsoever. And I actually managed to get the degree and I passed over five years, but I spent the entire time there just doing theater. <br><br>And then I made a very clear decision to leave Australia to go overseas and continue studying being an actor. <br><br>One thing I have learned in my life is that the best thing you can do is make decisions. Actually, it's the only thing you can do, is make decisions. And when you vacillate and you don't make them, nothing is ever clear. <br><br>Being an actor, this is what you learn an enormous amount. All the time, you learn, ""Trust your instincts.''","
The speaker always knew they wanted to make a difference and saw their purpose as driving business. They experienced a gap in education and were the only student of color with honors. In hindsight, they realized they could have played a peer mentor role to ensure more friends had the same experience and now want to address inequities in education.","
The narrator did a commerce degree at Melbourne Uni to please their parents, but had no interest in it and spent the entire time doing theatre. They then made a decision to leave Australia and continue studying acting overseas. The narrator believes that making decisions is important and that being an actor teaches you to trust your instincts.",2,0.0," While both stories have themes of self-discovery and realizing one's purpose, they are focused on vastly different topics and the situations are not similar enough for the narrators to empathize with each other.",3.0,1.5,2.0,1.5
46,"(36, 69)","(0.476, 0.501]","Generally, the schools that we work in are pretty negative environments. Our students grow up in homes where they don't necessarily get a chance to learn proper anger management techniques. And so you see a lot of students who get in fights. Or they throw something so that they can get suspended. Or they do something so that they don't have to be there. <br><br>There's usually something behind that, whether it's they don't feel they are able to succeed. Whether it's they're afraid of what might happen if they do succeed. Whether it's afraid that they are just unable to grasp a concept, so it's kind of sad , but there's always a bright light. <br><br>City here is there to find those bright lights and make them brighter. We work with kids in attendance, behavior, and course performance, in English and math. And our numbers show it, where at the beginning of the year there's so many suspensions, so many fights , and then by the end of the year those are all decreased. <br><br>We had these little catchphrases that people throw around, and one of them is, this is hard, be strong. Find something that they do know how to do. Find something that they do like to do, and build that relationship on that. <br><br>I know that what I do right now is very important. And I'm influencing a student everyday. Every student can succeed, we just need to find the right way to make that happen.","I was in South Florida and I was trying to figure out, do I take the path that a lot of my fellow Columbia immigrants at the time took? Maybe stayed home with parents, go to community college and kind of hang around the Colombian-American community. Or I had the choice to explore and see something totally different. <br><br>So I got into college and I didn't know really what I wanted to do. The journey became what thing can I put my heart and soul into for the next 30 years. I went scuba diving in Australia. <br><br>Talking to the captain of the ship, he said, ""I was in a landlocked country in Eastern Europe, and I saw the ocean for the first time, and I was completely sold."" The ocean was that thing that called him that he loved to do and knew that he wanted to do for the rest of my life. And I was like, I need to find that, I need to find my ocean. <br><br>For me, business started becoming that. Looking backwards I had started eight businesses before I got to college. So at Emplify, our goal, our vision is to help improve the lives of 1 million people through more meaningful work. <br><br>Our data will show them how this team is sick in terms of engagement and really their heart and mind not being into their work. And then, we show them something, they do something about it, leadership changes something, and then the work lives of employees are better.","City works with students in attendance, behavior, and course performance in English and math to find their strengths and build a positive relationship. The schools they work in are often negative environments where students struggle with anger management and fear of failure. However, City's efforts have shown a decrease in suspensions and fights, proving that every student can succeed with the right support.","
The author had to decide between following the usual path of fellow Colombian immigrants or exploring something different. He found his passion for business and started eight businesses before starting Emplify, a company that helps improve the lives of one million people through more meaningful work. Emplify uses data to improve employee engagement and leadership to ultimately make work lives better.",1,0.0, the two stories have completely different contexts and experiences.,2.0,2.0,2.0,2.5
47,"(37, 38)","(0.544, 0.684]","I don't know why I've been so emotional these past few days. I think about all the homeless people I've seen on the streets, all the beggars I've ever walked past, I think of people in mental hospitals who will never be healthy enough to get out, I think of the homeless teen I met in a downtown mental resource centre, I think of all the drug addicts I've seen shooting up heroin on the transit system, and I just want to cry. <br><br>Why do people have to suffer so much? Why do they suffer more than me? Why is there nothing I can do about it?","I find myself thinking about romantic moments I will never find again. It always ends as soon as it starts. I am searching for something that can't be found. The momentary intimacies. <br><br>I want to hold these memories in a breath, allow them to fill me with buzzing butterflies, then let them all out. Situations may be unsatisfying, but there are always more situations to come. <br><br>Who knows what the future will hold?","
The narrator has been feeling emotional and thinking about the suffering of homeless people, beggars, mentally ill individuals, and drug addicts. They feel helpless and question why others have to suffer more than them and why they can't do anything about it.","
The author reminisces about romantic moments that they will never experience again. They believe that these moments are temporary and cannot be found again. Despite this, they choose to cherish these memories and remain hopeful for future possibilities.",1,0.0, The two stories have completely different themes and the emotions felt by the narrators are not related.,2.5,2.0,2.5,2.0
48,"(37, 53)","(0.544, 0.684]","I don't know why I've been so emotional these past few days. I think about all the homeless people I've seen on the streets, all the beggars I've ever walked past, I think of people in mental hospitals who will never be healthy enough to get out, I think of the homeless teen I met in a downtown mental resource centre, I think of all the drug addicts I've seen shooting up heroin on the transit system, and I just want to cry. <br><br>Why do people have to suffer so much? Why do they suffer more than me? Why is there nothing I can do about it?","Today my family gathered in a small town. It has been years since we have all been in the same place at the same time. Usually seeing long lost relatives is a joyous occasion for most families. We aren't most families. Usually, we don't all get along. <br><br>Today wasn't usual. Today we gathered to pay our respect to one of the most complicated men most of us have ever known. Today, we all supported each other and consoled one another in the name of my Dad. <br><br>My dad passed away a week ago and today was his memorial. This has been a difficult week. Trying to grasp the fact that he is gone has been tough, but today was the worst. We had an open casket. He looked so strange, it was him and yet not him <br><br>I watched as some of my family broke down into tears, some quietly. Others held it in. I felt I had to be strong for my own little family. My children will never again get to see their grandpa. I will never again get to see my dad, yet as a dad, I couldn't let me kids watch me break down completely. <br><br>After today, all that will be left him is his belongings and his ashes.","
The narrator has been feeling emotional and thinking about the suffering of homeless people, beggars, mentally ill individuals, and drug addicts. They feel helpless and question why others have to suffer more than them and why they can't do anything about it.","
The author's family gathered in a small town to pay respects to their father who passed away a week ago. Despite not always getting along, they came together to console one another during this difficult time. The author watched as family members grieved and felt the need to stay strong for their own children, knowing that all that will be left of their father is his belongings and ashes.",1,0.0, the two stories are completely unrelated and have different emotional focuses.,2.0,1.0,1.0,1.5
49,"(37, 55)","(0.544, 0.684]","I don't know why I've been so emotional these past few days. I think about all the homeless people I've seen on the streets, all the beggars I've ever walked past, I think of people in mental hospitals who will never be healthy enough to get out, I think of the homeless teen I met in a downtown mental resource centre, I think of all the drug addicts I've seen shooting up heroin on the transit system, and I just want to cry. <br><br>Why do people have to suffer so much? Why do they suffer more than me? Why is there nothing I can do about it?","Today I lost my job. It really sucks because it's a job I held for 5 years and loved doing. I'm going to miss everyone I work with. <br><br>This is going to be a very hard time to pick myself up and get back into the swing of things. I just hope I can stay close to the friends I made there. <br><br>I understand why they had to let me go. Companies change and have to make big decisions. Unfortunately, that resulted in me losing my job. We were over head count. They had to let someone go. I was the one that got picked. It makes sense, but still sucks. <br><br>I won't let it get to me too much. It's upsetting but I'll do all I can to get back on my feet. Going to start looking for a new job soon.","
The narrator has been feeling emotional and thinking about the suffering of homeless people, beggars, mentally ill individuals, and drug addicts. They feel helpless and question why others have to suffer more than them and why they can't do anything about it.","
The author lost their job of 5 years and is sad to leave behind their coworkers. They understand the company's decision to let them go due to overstaffing, but it still sucks. They plan to move on and find a new job soon.",1,0.0," the two stories have completely different themes and emotions, therefore the narrators would not empathize with each other.",2.0,1.5,2.0,2.0
50,"(37, 59)","(0.501, 0.544]","I don't know why I've been so emotional these past few days. I think about all the homeless people I've seen on the streets, all the beggars I've ever walked past, I think of people in mental hospitals who will never be healthy enough to get out, I think of the homeless teen I met in a downtown mental resource centre, I think of all the drug addicts I've seen shooting up heroin on the transit system, and I just want to cry. <br><br>Why do people have to suffer so much? Why do they suffer more than me? Why is there nothing I can do about it?","A moment that will stay with me forever was the day I finally met my long lost sister. We were separated at a very young age and I never really knew much about them. I used to ask my parents what was she like and if they knew how and what she was doing. Hearing them talk about her just made me so eager and excited to one day hopefully actually meet her. <br><br>So one day I decided to go ahead and do some digging to try and find her and see if we could speak. Sadly I came up with no results and that was kind of heartbreaking at the time because I just felt that if I couldn't find her then, I would never actually meet up with her. So I felt gutted for that but in a turn of events, I was sent a message from someone she knew. <br><br>I instantly replied and we got something set up. My sister and I had a conversation and it was so amazing for me because I always had so many questions. She answered every question I had and she definitely had questions for me. I was more than happy to answer any and everything she wanted to know about me, because that's my sister. <br><br>So for me this was a great timethough we ended up planning a face to face meeting and we met at the airport. We embraced and had a big long hug and we both cried actually. I was literally shaking because I thought I would never actually see my sister ever and make memories with her while we were older. <br><br>This was a moment for me that I plan on never forgetting until the day I'm no longer around.","
The narrator has been feeling emotional and thinking about the suffering of homeless people, beggars, mentally ill individuals, and drug addicts. They feel helpless and question why others have to suffer more than them and why they can't do anything about it.","The author always wanted to meet their long lost sister and finally found her after some digging. They had an amazing conversation and planned a face to face meeting at the airport. They embraced and both cried, making memories they will never forget.",1,0.0, The topics of the stories are completely unrelated and do not display similar emotions or circumstances.,2.5,1.0,1.0,1.0
51,"(37, 64)","(0.544, 0.684]","I don't know why I've been so emotional these past few days. I think about all the homeless people I've seen on the streets, all the beggars I've ever walked past, I think of people in mental hospitals who will never be healthy enough to get out, I think of the homeless teen I met in a downtown mental resource centre, I think of all the drug addicts I've seen shooting up heroin on the transit system, and I just want to cry. <br><br>Why do people have to suffer so much? Why do they suffer more than me? Why is there nothing I can do about it?","I'm a single mom that came out of a mentally abusive relationship of 7 years. I felt insecure about myself for years. Even though I've been told by a lot of people they expected the opposite judging me only by my looks. They expect someone with an ego. <br><br>I just met this guy. I'm taller than him, we have completely different jobs and our lives have been quite the opposite. But our interests are completely the same. Same movies, shows, books. When we met it felt like I knew him my whole life. We make each other laugh and enjoy the quiet moments in between just as much. We've been on multiple dates. <br><br>He has been very patient with me as I'm a rape victim and he knew how scared I was of dating. I have stretch marks and feel very insecure about them. When he saw me he said that I was overreacting and they probably look worse through my eyes. And he loves them. He kissed my belly and said. ""Did you really think I would be so judgmental about something that is the most natural thing?"" He spun me around like you would for a dance and said ""you look like a godess"". And he held me in his arms until the morning. Even in my 7 year relationship I never once experienced that. He never slept beside me, because he wanted to play videogames or was working the night shift. And I never felt more happy. <br><br>In the morning I woke up, brushed my teeth real quick. When I came back, he was gone. I had a small heart attack. I dressed myself and went down thinking that's it. We did it and I lost him. Then I saw he was downstairs feeding my cat. He heard her cry for food and that broke his heart. I just ran up to him and hugged him. <br><br>That's been a few days ago and he already asked me on a new date. And another date. This is too perfect.","
The narrator has been feeling emotional and thinking about the suffering of homeless people, beggars, mentally ill individuals, and drug addicts. They feel helpless and question why others have to suffer more than them and why they can't do anything about it.","A single mom who has come out of a mentally abusive relationship meets a new guy who is patient with her as she is a rape victim and insecure about her stretch marks. He tells her she looks like a goddess and holds her in his arms all night. He even feeds her cat in the morning and asks her on more dates, making her feel happy and hopeful about the future.",2,0.0," the two stories have vastly different topics and emotions, making it difficult for the narrators to empathize with each other.",2.5,1.5,1.5,1.5
52,"(38, 51)","(0.476, 0.501]","I find myself thinking about romantic moments I will never find again. It always ends as soon as it starts. I am searching for something that can't be found. The momentary intimacies. <br><br>I want to hold these memories in a breath, allow them to fill me with buzzing butterflies, then let them all out. Situations may be unsatisfying, but there are always more situations to come. <br><br>Who knows what the future will hold?","Not that I am dissatisfied by my life or something, I've everything I need but sometimes I just wonder how other people would live or if I was born somewhere else, in some other time period how my life would have been. <br><br>This feeling is strong when I talk to someone from some other place, play/watch historical games(Kingdom come deliverance, Assassin's Creed)/movies, watch travel videos, watch ""life in x place"" videos or simply watch/read fiction etc. It's not like that I only want to live ""happy"" lives but ""sad"" ones too. <br><br>Happiness and sadness may be subjective so I am using general criteria for them. Eg. My current life is a happy one but for my counterpart living in countries that are war torn might be sad.","
The author reminisces about romantic moments that they will never experience again. They believe that these moments are temporary and cannot be found again. Despite this, they choose to cherish these memories and remain hopeful for future possibilities.","
The author contemplates how their life would be different if they were born in a different place or time period. This feeling is triggered by talking to people from other places, playing historical games, watching travel videos, and reading fiction. The author acknowledges that happiness and sadness are subjective and their current happy life may not be the same for someone living in a war-torn country.",3,1.0," While the two stories don't have the same situations, both narrators are contemplating the fleeting nature of life and holding onto hope for the future.",3.0,1.5,2.0,2.5
53,"(4, 58)","(0.544, 0.684]",I had decided to go spend my wife's birthday at an all inclusive resort. It was a great time to go because it was the dry season in Central America. We went with her family. I enjoyed going there because it was the first time that I went to one. What I enjoyed the most was that I could go to the buffet line and get all the food that I wanted. I didn't have to worry about tipping or ordering something off the menu. I also enjoyed the open bars. I had alot of different cocktails that I didn't know about before. <br><br>I got to fill my satisfaction in that area. I also enjoyed the pool area where the entertainment possibilities were endless. Later at night we went to the night entertainment. There were several dance routines and comedy routines. There was a cocktail bar there as well so that I could enjoy my drinks in different areas. <br><br>I didn't get to go to the night party but my wife did. The rest of the time there was spent doing the same things for the next couple of days.,"My aunt called me a few weeks ago and wanted me to go with her on a road trip. It was kind of unexpected, but I haven't seen her much in the last few years so I was excited. We were headed to a wedding about 6 hours away. I didn't really know the guy getting married, but I had met his mom a few times. <br><br>On the way to the wedding, we stopped to visit several relatives. Again, people I hadn't seen in years. It was so fun to catch up with all my cousins! We had a blast at the wedding, or rather, the wedding reception and dance! Now that was a good time. Everyone was out on the dance floor and most of them were very good dancers. My aunt and I didn't participate in that, but it sure was fun watching everybody out there. The food was good too! <br><br>After the dance, we headed back to another friend's house to spend the night. I had met him a few times before, and we spent a couple of enjoyable days with him. We spent a few more days visiting with more friends and relatives before we headed back. <br><br>I absolutely had a blast. We talked all the way there and back which was about a 12 hour round trip. This is my favorite aunt of all time, and I'm so glad she asked me to go with her. She is over 70 now, and doesn't get around as well as she used to, so I soaked in every moment of our time together. <br><br>I only wish it could've lasted longer, but unfortunately, I had to get back to work. I hope we get the opportunity to do another road trip together!","
The narrator took his wife to an all-inclusive resort for her birthday. They enjoyed the buffet, open bars, and pool entertainment. They also attended night entertainment with dance and comedy routines, but the narrator did not go to the night party. The rest of their time was spent doing the same activities for the next few days.",The narrator's aunt invited them on a road trip to a wedding six hours away. They stopped to visit relatives and had a great time catching up with everyone. The narrator had a blast spending time with their aunt and hopes to go on another road trip with her in the future.,1,0.0, there is no overlap in the content or emotions of these two stories.,3.0,3.0,3.0,3.0
54,"(40, 68)","(0.476, 0.501]","I did an arts commerce degree at Melbourne Uni, but the reason I did commerce was because my parents wanted me to. I had no interest in it whatsoever. And I actually managed to get the degree and I passed over five years, but I spent the entire time there just doing theater. <br><br>And then I made a very clear decision to leave Australia to go overseas and continue studying being an actor. <br><br>One thing I have learned in my life is that the best thing you can do is make decisions. Actually, it's the only thing you can do, is make decisions. And when you vacillate and you don't make them, nothing is ever clear. <br><br>Being an actor, this is what you learn an enormous amount. All the time, you learn, ""Trust your instincts.''","Well I just turned 34 last week, and I still don't have a clue what I would do if I didn't snowboard. Snowboarding saved my life. I said whatever it is that I do , I wanna have to train for it. Because I wasn't an academic at all, sports was my main thing. <br><br>Along this whole time, I also had this fascination with surfing, which, being from Vancouver, there was no surfing. Then my best friends came home with two snowboards and I'm like perfect. This is exactly what I wanna do, so that's when I kind of started snowboarding and I got really, really addicted to it. <br><br>And then I sort of started switching over to doing this for a living. It was a big risk, but at the same time, I don't really feel comfortable unless I'm pushing the envelope. My idea is to basically find where your limit is, and then that's your starting point.","
The narrator did a commerce degree at Melbourne Uni to please their parents, but had no interest in it and spent the entire time doing theatre. They then made a decision to leave Australia and continue studying acting overseas. The narrator believes that making decisions is important and that being an actor teaches you to trust your instincts.","
The protagonist turned 34 and still didn't know what he would do without snowboarding. He credits snowboarding with saving his life and states that he wants to have to train for whatever he does. He also mentions his fascination with surfing and how he got addicted to snowboarding, eventually switching to doing it for a living.",2,0.0," Although both stories involve making life decisions and pursuing one's passion, the specific circumstances are too different for the narrators to empathize with each other.",3.0,2.5,3.5,3.5
55,"(40, 69)","(0.544, 0.684]","I did an arts commerce degree at Melbourne Uni, but the reason I did commerce was because my parents wanted me to. I had no interest in it whatsoever. And I actually managed to get the degree and I passed over five years, but I spent the entire time there just doing theater. <br><br>And then I made a very clear decision to leave Australia to go overseas and continue studying being an actor. <br><br>One thing I have learned in my life is that the best thing you can do is make decisions. Actually, it's the only thing you can do, is make decisions. And when you vacillate and you don't make them, nothing is ever clear. <br><br>Being an actor, this is what you learn an enormous amount. All the time, you learn, ""Trust your instincts.''","I was in South Florida and I was trying to figure out, do I take the path that a lot of my fellow Columbia immigrants at the time took? Maybe stayed home with parents, go to community college and kind of hang around the Colombian-American community. Or I had the choice to explore and see something totally different. <br><br>So I got into college and I didn't know really what I wanted to do. The journey became what thing can I put my heart and soul into for the next 30 years. I went scuba diving in Australia. <br><br>Talking to the captain of the ship, he said, ""I was in a landlocked country in Eastern Europe, and I saw the ocean for the first time, and I was completely sold."" The ocean was that thing that called him that he loved to do and knew that he wanted to do for the rest of my life. And I was like, I need to find that, I need to find my ocean. <br><br>For me, business started becoming that. Looking backwards I had started eight businesses before I got to college. So at Emplify, our goal, our vision is to help improve the lives of 1 million people through more meaningful work. <br><br>Our data will show them how this team is sick in terms of engagement and really their heart and mind not being into their work. And then, we show them something, they do something about it, leadership changes something, and then the work lives of employees are better.","
The narrator did a commerce degree at Melbourne Uni to please their parents, but had no interest in it and spent the entire time doing theatre. They then made a decision to leave Australia and continue studying acting overseas. The narrator believes that making decisions is important and that being an actor teaches you to trust your instincts.","
The author had to decide between following the usual path of fellow Colombian immigrants or exploring something different. He found his passion for business and started eight businesses before starting Emplify, a company that helps improve the lives of one million people through more meaningful work. Emplify uses data to improve employee engagement and leadership to ultimately make work lives better.",2,0.0," While both stories involve making important decisions and following one's passion, the topics are unrelated and the emotions involved in each story are different.",2.5,1.0,2.0,2.5
56,"(40, 77)","(0.544, 0.684]","I did an arts commerce degree at Melbourne Uni, but the reason I did commerce was because my parents wanted me to. I had no interest in it whatsoever. And I actually managed to get the degree and I passed over five years, but I spent the entire time there just doing theater. <br><br>And then I made a very clear decision to leave Australia to go overseas and continue studying being an actor. <br><br>One thing I have learned in my life is that the best thing you can do is make decisions. Actually, it's the only thing you can do, is make decisions. And when you vacillate and you don't make them, nothing is ever clear. <br><br>Being an actor, this is what you learn an enormous amount. All the time, you learn, ""Trust your instincts.''","I've got one year left at UCLA, thinking about career choices after I'm graduating and education's always been on my mind. But I have different messages coming from my family, from my friends who are like, is that really the right decision for you? <br><br>My mother was desperate for me to be a dancer. And I actually had a scholarship to the Joffrey Ballet. I didn't take it, much to my mother's chagrin. I actually thought about it. But I realized that was her passion. She can go do it. I don't wanna do it. <br><br>It's good for you to be open to your parents and friends asking you and questioning you. That's a healthy thing. But be clear about what drives you, not what other people want for you to have. <br><br>You've got to have something that gets you up before the alarm gets you up. You gotta have something that makes you stay up that extra hour because it's not a job, it's a passion.","
The narrator did a commerce degree at Melbourne Uni to please their parents, but had no interest in it and spent the entire time doing theatre. They then made a decision to leave Australia and continue studying acting overseas. The narrator believes that making decisions is important and that being an actor teaches you to trust your instincts.","
The writer is in their final year at UCLA and is considering career choices after graduation. They have always been interested in education but are receiving conflicting advice from family and friends. The writer reflects on the importance of pursuing what drives them personally, rather than what others want for them.",4,1.0," Both narrators discuss the importance of making decisions that line up with their personal passions and desires, even if it goes against the expectations of others. They can empathize with each other's struggles in finding their true calling.",3.5,2.0,3.0,2.5
57,"(40, 78)","(0.501, 0.544]","I did an arts commerce degree at Melbourne Uni, but the reason I did commerce was because my parents wanted me to. I had no interest in it whatsoever. And I actually managed to get the degree and I passed over five years, but I spent the entire time there just doing theater. <br><br>And then I made a very clear decision to leave Australia to go overseas and continue studying being an actor. <br><br>One thing I have learned in my life is that the best thing you can do is make decisions. Actually, it's the only thing you can do, is make decisions. And when you vacillate and you don't make them, nothing is ever clear. <br><br>Being an actor, this is what you learn an enormous amount. All the time, you learn, ""Trust your instincts.''","I got a D - instead of an F in a government class. If I had gotten an F, I wouldn't have graduated. I didn't like school. So it was a particularly unrewarding experience for me. I've never been influenced that much by other people's comments or goals. <br><br>I work hard to make up my own mind with as much information as I can get. In fact, if I let everybody else influence what we were doing, the human genome wouldn't be sequenced now. <br><br>I'd say, first decide what you want to accomplish in life. What do you want to contribute to society? Where do you want to do that, and then follow that path.","
The narrator did a commerce degree at Melbourne Uni to please their parents, but had no interest in it and spent the entire time doing theatre. They then made a decision to leave Australia and continue studying acting overseas. The narrator believes that making decisions is important and that being an actor teaches you to trust your instincts.","
The author received a D- instead of an F in a government class which allowed them to graduate, but they did not enjoy school. They do not let other people's comments or goals influence them and instead work hard to make up their own mind. The author advises readers to decide what they want to contribute to society and follow that path.",3,1.0," Both narrators emphasize the importance of making decisions for oneself and following one's own path, even if it goes against societal expectations. While the specific circumstances of their stories are different, the underlying message is similar.",3.0,2.5,3.0,3.0
58,"(41, 50)","(0.444, 0.459]",I used to own pet rats as a kid but as an adult I haven't had the ability to do so. We got two into the shelter and I ended up adopting one of them (they had to be separated as they were fighting but I do plan to get him a friend). He is so sweet and friendly and loves to snuggle and groom me! He's just amazing. <br><br>He's brought me so much joy in just the two weeks I've owned him. We snuggle almost every night as I sit and play video games and wind down after work. He's just an amazing little creature and I never would have imagined the joy he'd have brought me even just a month ago. <br><br>He's so amazing!,"One of the worst days of my life, my beloved Border Terrier, Mr. Pip, has passed away. He has been suffering from Cushings disease for the past 2 years, but his quality of life over the past 6 months has gone down. He has had frequent accidents in the house and appears to have some type of dementia. Also, he cannot seem to get enough water. <br><br>We have resisted putting him on meds because of the potential side effects, but finally it seemed there was no other alternative. We put him on the meds and for the 1st couple of weeks, things seemed to get better. Then, in a matter of 24 hours, all of his organs started to shut down. <br><br>I brought the kids to school and something told me I should go home to check on him. I will never forget that image. He was lying down and foaming at the mouth, he looked terrified. I am so upset that I ever put him on those meds. <br><br>I carried him to our van and brought him to the vet. He was put to sleep and died in my arms. I will hold the guilt for a long time.","
The author used to own pet rats as a kid but hadn't been able to have them as an adult until they adopted one from a shelter. The rat is sweet, friendly, and loves to snuggle and groom the author. He has brought the author a lot of joy in just two weeks and is an amazing little creature.","
The author's Border Terrier, Mr. Pip, passed away due to Cushings disease and other health issues. The author struggled with whether or not to medicate Mr. Pip, but eventually did so. Unfortunately, the medication caused his organs to shut down and he ultimately had to be put to sleep.",1,0.0, The two stories are not related as they involve completely different experiences and emotions.,3.5,2.0,2.0,3.0
59,"(42, 74)","(0.544, 0.684]","I'm the chief financial officer as well as the chief actuary here at the Geisman Health Plan. So what we primarily do here is we sell health insurance products. One of my primary activities as the chief actuary is to price those insurance products. We have to make projections on what healthcare costs are gonna be for the upcoming year. It's one of those professions, because of the challenge of getting through the process, you really develop some unique skills. <br><br>But in any field you go into, try to go toward an area where you can have a broad perspective. And think about learning and improving your skill set. I think opening yourself up to risk, personal and professional, allows you to grow. <br><br>One of the things that's been a challenge in my life, is I spent a lot of time away from Los Angeles, away from a lot of family and friends, and there's certainly been a cost to it. But I've also grown because of all the places I've lived and the places I've worked. I wouldn't just shut yourself off to those opportunities. Those growth opportunities are so important in life.","At age 22, I was driving a brand new Porsche and had all the money that anybody could ever want. And I absolutely hated the job. I hated the place. I hated the people I was working with. <br><br>About six months after I quit that job, I was freelancing and trying to build a little business. But I had one month where my total income was $135. It's a good thing my wife had a job because we would have starved. <br><br>Even though we had no money, we had a great time. We managed to do the things we needed to do to have fun. That gives you a certain amount of armor. <br><br>I've never been afraid to take risk, just because I know we can survive the consequences, whatever those are.","The CFO and chief actuary at Geisman Health Plan is responsible for pricing health insurance products by making projections on healthcare costs for the upcoming year. He believes that developing unique skills through challenging professions and having a broad perspective in any field is important for personal and professional growth. Although spending time away from family and friends can come at a cost, it also provides valuable growth opportunities that should not be missed.","
The protagonist had a high-paying job he despised, driving a Porsche at just 22. He quit and tried to start his own business but made only $135 in a month. Despite the financial struggles, he and his wife had fun and learned to take risks without fear of consequences.",1,0.0, The two stories have completely different themes and do not share any relatable experiences or emotions.,2.0,2.0,2.0,2.0
60,"(43, 73)","(0.544, 0.684]","So I have been wanting to formally learn about animation since I was around 13/14. I taught myself some of the basics and took a graphic design class as a teenager, but never really had the opportunity to learn more. <br><br>Fast forward to today, the first day of my junior year of college. We went over the syllabus and this class is everything I wanted and more! It's rare to find classmates and professors that are so excited to learn and teach. <br><br>For the first time in a while, I have something to look forward to.","I was working at a comic shop part-time. At night, after I did my homework, I was doing samples and sending them off to all the comic book companies. I did that for about two or three years. <br><br>After 300 rejections, my phone rings and they went, ""All right, we'll give you a job.'' I was able to sort of jump right out of college and go right into doing comic books. <br><br>Now, it was only ten pages, and it was 60 bucks a page. You don't have to get into the ""A'' spot in the first two years of your life. You don't have to do it.","
The author had an interest in animation since their teenage years but never had the opportunity to learn more. On the first day of their junior year of college, they found a class that met all their expectations and had enthusiastic classmates and professors. This class has given them something to look forward to.","
A person worked part-time at a comic shop and spent their free time creating comic book samples to send to companies for two to three years. After receiving 300 rejections, they finally received a job offer from a company. The job paid $60 per page, allowing the person to jump into a career in comic books straight out of college.",1,0.0," the two stories are about different fields and experiences, and the emotions and experiences of the narrators are not immediately relatable to each other.",2.0,1.5,2.5,1.5
